# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	max(p)
43.15         	2.229681e+00
43.2          	2.212515e+00
43.25         	2.254216e+00
43.3          	2.240969e+00
43.35         	2.243470e+00
43.4          	2.247299e+00
43.45         	2.262788e+00
43.5          	2.282055e+00
43.55         	2.271235e+00
43.6          	2.291271e+00
43.65         	2.295465e+00
43.7          	2.284000e+00
43.75         	2.271119e+00
43.8          	2.257082e+00
43.85         	2.257249e+00
43.9          	2.266840e+00
43.95         	2.238666e+00
44            	2.258386e+00
44.05         	2.245695e+00
44.1          	2.213004e+00
44.15         	2.180681e+00
44.2          	2.159521e+00
44.25         	2.125924e+00
44.3          	2.097659e+00
44.35         	2.070742e+00
44.4          	2.048625e+00
44.45         	2.019960e+00
44.5          	1.999391e+00
44.55         	1.977261e+00
44.6          	1.960048e+00
44.65         	1.943238e+00
44.7          	1.953438e+00
44.75         	1.938241e+00
44.8          	1.938633e+00
44.85         	1.927929e+00
44.9          	1.950179e+00
44.95         	1.960529e+00
45            	1.958681e+00
45.05         	1.975318e+00
45.1          	1.985159e+00
45.15         	1.984927e+00
45.2          	2.014377e+00
45.25         	2.030799e+00
45.3          	2.042505e+00
45.35         	2.049100e+00
45.4          	2.073887e+00
45.45         	2.093270e+00
45.5          	2.109784e+00
45.55         	2.157317e+00
45.6          	2.194781e+00
45.65         	2.210286e+00
45.7          	2.240387e+00
45.75         	2.246799e+00
45.8          	2.281399e+00
45.85         	2.317941e+00
45.9          	2.297931e+00
45.95         	2.324193e+00
46            	2.339073e+00
46.05         	2.339524e+00
46.1          	2.376447e+00
46.15         	2.397613e+00
46.2          	2.403387e+00
46.25         	2.406503e+00
46.3          	2.415970e+00
46.35         	2.402024e+00
46.4          	2.380838e+00
46.45         	2.424251e+00
46.5          	2.403714e+00
46.55         	2.401178e+00
46.6          	2.388754e+00
46.65         	2.384691e+00
46.7          	2.364115e+00
46.75         	2.352216e+00
46.8          	2.342520e+00
46.85         	2.322489e+00
