# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	minMag(U)
32.05         	1.803339e-02
32.1          	1.671937e-02
32.15         	1.523420e-02
32.2          	1.372137e-02
32.25         	1.221026e-02
32.3          	1.054448e-02
32.35         	8.777413e-03
32.4          	6.977188e-03
32.45         	4.558908e-03
32.5          	1.527087e-03
32.55         	1.422831e-03
32.6          	4.394966e-03
32.65         	6.795194e-03
32.7          	8.134827e-03
32.75         	9.478815e-03
32.8          	1.080181e-02
32.85         	1.212192e-02
32.9          	1.328865e-02
32.95         	1.449260e-02
33            	1.383323e-02
33.05         	9.558858e-03
33.1          	8.194841e-03
33.15         	1.210793e-02
33.2          	1.337172e-02
33.25         	7.927169e-03
33.3          	1.951781e-03
33.35         	5.023497e-03
33.4          	1.270965e-02
33.45         	1.170806e-02
33.5          	2.274159e-02
33.55         	2.320718e-02
33.6          	9.666028e-03
33.65         	1.534127e-02
33.7          	2.464576e-02
33.75         	2.510344e-02
33.8          	2.128592e-02
33.85         	1.737791e-02
33.9          	1.437842e-02
33.95         	2.344022e-02
34            	2.261970e-02
34.05         	2.200480e-02
34.1          	2.133837e-02
34.15         	2.143374e-02
34.2          	2.171499e-02
34.25         	2.193069e-02
34.3          	2.210609e-02
34.35         	1.178194e-02
34.4          	1.569009e-02
34.45         	1.967920e-02
34.5          	1.713093e-02
34.55         	1.456579e-02
34.6          	1.224634e-02
34.65         	1.014855e-02
34.7          	8.559979e-03
34.75         	8.111523e-03
34.8          	8.800837e-03
34.85         	1.046295e-02
34.9          	1.272712e-02
34.95         	1.535238e-02
35            	1.831583e-02
35.05         	2.166802e-02
35.1          	2.459566e-02
35.15         	2.469780e-02
35.2          	2.642471e-02
35.25         	3.082901e-02
35.3          	3.615134e-02
35.35         	3.505937e-02
35.4          	3.315830e-02
35.45         	3.107578e-02
35.5          	2.912365e-02
35.55         	2.714716e-02
35.6          	2.435085e-02
35.65         	2.151892e-02
35.7          	1.919457e-02
35.75         	1.739202e-02
35.8          	1.543715e-02
35.85         	1.334067e-02
35.9          	1.099705e-02
35.95         	8.652966e-03
36            	6.280189e-03
