# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
25.8          	2.854294e+00
25.85         	2.852768e+00
25.9          	2.851287e+00
25.95         	2.850142e+00
26            	2.849537e+00
26.05         	2.894517e+00
26.1          	2.910749e+00
26.15         	2.882520e+00
26.2          	2.878651e+00
26.25         	2.977318e+00
26.3          	3.012175e+00
26.35         	2.988901e+00
26.4          	2.915718e+00
26.45         	2.858558e+00
26.5          	2.856737e+00
26.55         	2.853405e+00
26.6          	2.848405e+00
26.65         	2.841715e+00
26.7          	2.833351e+00
26.75         	2.823466e+00
26.8          	2.812337e+00
26.85         	2.819625e+00
26.9          	2.869163e+00
26.95         	2.904401e+00
27            	2.926326e+00
27.05         	2.935043e+00
27.1          	2.933195e+00
27.15         	2.922566e+00
27.2          	2.905607e+00
27.25         	2.884799e+00
27.3          	2.862093e+00
27.35         	2.839179e+00
27.4          	2.817431e+00
27.45         	2.797853e+00
27.5          	2.815942e+00
27.55         	2.835221e+00
27.6          	2.853961e+00
27.65         	2.871874e+00
27.7          	2.888514e+00
27.75         	2.903203e+00
27.8          	2.915842e+00
27.85         	2.926211e+00
27.9          	2.933666e+00
27.95         	2.938536e+00
28            	2.940239e+00
28.05         	2.938972e+00
28.1          	2.934736e+00
28.15         	2.927387e+00
28.2          	2.917070e+00
28.25         	2.904441e+00
28.3          	2.889188e+00
28.35         	2.871461e+00
28.4          	2.851030e+00
28.45         	2.828623e+00
28.5          	2.804505e+00
28.55         	2.779594e+00
28.6          	2.763100e+00
28.65         	2.770406e+00
28.7          	2.777531e+00
28.75         	2.784449e+00
28.8          	2.791024e+00
28.85         	2.797339e+00
28.9          	2.803117e+00
28.95         	2.808479e+00
29            	2.813273e+00
29.05         	2.817418e+00
29.1          	2.820982e+00
29.15         	2.823962e+00
29.2          	2.826332e+00
29.25         	2.827964e+00
29.3          	2.828865e+00
29.35         	2.829147e+00
29.4          	2.829213e+00
29.45         	2.828828e+00
29.5          	2.827988e+00
29.55         	2.826690e+00
29.6          	2.824711e+00
29.65         	2.821496e+00
29.7          	2.821121e+00
29.75         	2.821879e+00
29.8          	2.822094e+00
29.85         	2.821749e+00
29.9          	2.820876e+00
29.95         	2.819443e+00
30            	2.817503e+00
30.05         	2.815139e+00
30.1          	2.812298e+00
