# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	min(p)
22.75         	-1.997082e+00
22.8          	-2.036409e+00
22.85         	-2.020096e+00
22.9          	-2.032426e+00
22.95         	-2.036249e+00
23            	-2.041254e+00
23.05         	-1.988221e+00
23.1          	-2.034963e+00
23.15         	-2.026782e+00
23.2          	-2.034559e+00
23.25         	-1.992920e+00
23.3          	-1.961202e+00
23.35         	-1.963289e+00
23.4          	-1.954288e+00
23.45         	-1.940063e+00
23.5          	-1.915184e+00
23.55         	-1.889931e+00
23.6          	-1.954384e+00
23.65         	-1.925419e+00
23.7          	-1.904122e+00
23.75         	-1.881845e+00
23.8          	-1.866012e+00
23.85         	-1.842800e+00
23.9          	-1.823972e+00
23.95         	-1.791767e+00
24            	-1.757843e+00
24.05         	-1.719643e+00
24.1          	-1.687513e+00
24.15         	-1.637958e+00
24.2          	-1.609441e+00
24.25         	-1.579021e+00
24.3          	-1.576014e+00
24.35         	-1.629930e+00
24.4          	-1.627932e+00
24.45         	-1.665382e+00
24.5          	-1.651940e+00
24.55         	-1.671577e+00
24.6          	-1.672700e+00
24.65         	-1.696688e+00
24.7          	-1.839790e+00
24.75         	-1.684815e+00
24.8          	-1.677402e+00
24.85         	-1.687905e+00
24.9          	-1.686098e+00
24.95         	-1.680715e+00
25            	-1.672192e+00
25.05         	-1.684268e+00
25.1          	-1.687918e+00
25.15         	-1.700535e+00
25.2          	-1.692695e+00
25.25         	-1.697542e+00
25.3          	-1.685898e+00
25.35         	-1.692242e+00
25.4          	-1.673288e+00
25.45         	-1.649374e+00
25.5          	-1.638033e+00
25.55         	-1.633105e+00
25.6          	-1.629846e+00
25.65         	-1.632207e+00
25.7          	-1.586955e+00
25.75         	-1.581859e+00
25.8          	-1.582840e+00
25.85         	-1.583340e+00
25.9          	-1.647500e+00
25.95         	-1.745412e+00
26            	-1.956775e+00
26.05         	-1.845081e+00
26.1          	-1.725312e+00
26.15         	-1.762428e+00
26.2          	-1.790001e+00
26.25         	-1.826958e+00
26.3          	-1.873192e+00
26.35         	-1.869678e+00
26.4          	-1.874180e+00
26.45         	-1.816379e+00
26.5          	-1.776739e+00
26.55         	-1.848348e+00
26.6          	-1.883502e+00
26.65         	-1.886682e+00
26.7          	-1.863262e+00
26.75         	-1.816880e+00
26.8          	-1.754726e+00
26.85         	-1.689616e+00
26.9          	-1.605419e+00
26.95         	-1.624357e+00
27            	-1.669248e+00
27.05         	-1.666597e+00
27.1          	-1.692784e+00
27.15         	-1.717085e+00
27.2          	-1.809501e+00
27.25         	-1.740172e+00
27.3          	-1.768592e+00
27.35         	-1.790821e+00
27.4          	-1.801335e+00
27.45         	-1.810417e+00
27.5          	-1.831505e+00
27.55         	-1.847262e+00
27.6          	-1.856590e+00
27.65         	-1.845979e+00
27.7          	-1.865937e+00
27.75         	-1.841661e+00
27.8          	-1.834737e+00
27.85         	-1.840917e+00
27.9          	-1.825763e+00
27.95         	-1.828123e+00
28            	-1.841463e+00
28.05         	-1.839373e+00
28.1          	-1.833591e+00
28.15         	-1.868210e+00
28.2          	-1.856385e+00
28.25         	-1.847641e+00
28.3          	-1.869143e+00
28.35         	-1.872492e+00
28.4          	-1.873042e+00
28.45         	-1.878832e+00
28.5          	-1.893523e+00
28.55         	-1.872971e+00
28.6          	-1.890827e+00
28.65         	-1.902699e+00
28.7          	-1.955256e+00
28.75         	-1.945753e+00
28.8          	-1.984612e+00
28.85         	-2.030897e+00
28.9          	-1.995704e+00
28.95         	-1.992867e+00
29            	-1.994777e+00
29.05         	-2.007674e+00
29.1          	-1.988443e+00
29.15         	-1.986302e+00
29.2          	-1.994365e+00
29.25         	-1.948964e+00
29.3          	-1.935325e+00
29.35         	-1.960060e+00
29.4          	-1.914031e+00
29.45         	-1.898009e+00
29.5          	-1.873813e+00
29.55         	-1.861930e+00
29.6          	-1.900092e+00
29.65         	-1.876345e+00
29.7          	-1.853305e+00
29.75         	-1.837866e+00
29.8          	-1.805727e+00
29.85         	-1.789651e+00
29.9          	-1.770959e+00
29.95         	-1.736894e+00
30            	-1.701078e+00
30.05         	-1.666220e+00
30.1          	-1.628538e+00
30.15         	-1.592698e+00
30.2          	-1.562098e+00
30.25         	-1.522753e+00
30.3          	-1.508218e+00
30.35         	-1.573930e+00
30.4          	-1.575720e+00
30.45         	-1.565414e+00
30.5          	-1.582385e+00
30.55         	-1.581005e+00
30.6          	-1.572526e+00
